题号,标题,链接,难度,总提交数,总通过数,通过率,付费,已解决,熟练程度
1,Two Sum,two-sum,简单,1704930,589582,34.6%,否,是,熟练
2,Add Two Numbers,add-two-numbers,中等,1194519,331301,27.7%,否,是,熟练
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,中等,1363127,331629,24.3%,否,是,不熟练
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,难,842201,183308,21.8%,否,是,不熟练
5,Longest Palindromic Substring,longest-palindromic-substring,中等,886883,223203,25.2%,否,是,一般
6,ZigZag Conversion,zigzag-conversion,中等,611944,163769,26.8%,否,是,较熟练
7,Reverse Integer,reverse-integer,简单,1135371,276843,24.4%,否,是,熟练
8,String to Integer (atoi),string-to-integer-atoi,中等,1297967,181272,14.0%,否,是,一般
9,Palindrome Number,palindrome-number,简单,667039,235450,35.3%,否,是,熟练
10,Regular Expression Matching,regular-expression-matching,难,612820,147577,24.1%,否,是,不熟练
11,Container With Most Water,container-with-most-water,中等,396602,144983,36.6%,否,是,熟练
12,Integer to Roman,integer-to-roman,中等,250519,112049,44.7%,否,是,不熟练
13,Roman to Integer,roman-to-integer,简单,360515,164891,45.7%,否,是,一般
14,Longest Common Prefix,longest-common-prefix,简单,616716,194102,31.5%,否,是,熟练
15,3Sum,3sum,中等,1075757,232497,21.6%,否,是,不熟练
16,3Sum Closest,3sum-closest,中等,440332,137000,31.1%,否,是,不熟练
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,中等,475847,164164,34.5%,否,是,熟练
18,4Sum,4sum,中等,467361,125157,26.8%,否,是,不熟练
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,中等,564496,189098,33.5%,否,是,熟练
20,Valid Parentheses,valid-parentheses,简单,675598,225547,33.4%,否,是,熟练
21,Merge Two Sorted Lists,merge-two-sorted-lists,简单,626722,244885,39.1%,否,是,一般
22,Generate Parentheses,generate-parentheses,中等,350468,157863,45.0%,否,是,不熟练
23,Merge k Sorted Lists,merge-k-sorted-lists,难,588541,160132,27.2%,否,是,不熟练
24,Swap Nodes in Pairs,swap-nodes-in-pairs,中等,449887,172428,38.3%,否,是,较熟练
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,难,323395,99386,30.7%,否,是,较熟练
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,简单,705785,250363,35.5%,否,是,熟练
27,Remove Element,remove-element,简单,546535,213459,39.1%,否,是,较熟练
28,Implement strStr(),implement-strstr,简单,706046,198526,28.1%,否,是,熟练
29,Divide Two Integers,divide-two-integers,中等,674367,107578,16.0%,否,是,不熟练
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,难,377034,82791,22.0%,否,是,一般
31,Next Permutation,next-permutation,中等,406397,116975,28.8%,否,是,不熟练
32,Longest Valid Parentheses,longest-valid-parentheses,难,437414,100969,23.1%,否,是,不熟练
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,中等,576135,185042,32.1%,否,是,一般
34,Search for a Range,search-for-a-range,中等,464761,145813,31.4%,否,是,熟练
35,Search Insert Position,search-insert-position,简单,478538,190148,39.7%,否,是,熟练
36,Valid Sudoku,valid-sudoku,中等,348300,124550,35.8%,否,是,熟练
37,Sudoku Solver,sudoku-solver,难,256847,77517,30.2%,否,是,熟练
38,Count and Say,count-and-say,简单,419783,145533,34.7%,否,否,
39,Combination Sum,combination-sum,中等,436069,168649,38.7%,否,是,熟练
40,Combination Sum II,combination-sum-ii,中等,358613,121024,33.7%,否,是,不熟练
